addr	state	modules	config_names	config_kinds	verified_name	verified_kind	verdict	proposed	note
0x0201045c	DIVERGED	arm9	_ZN8dActor_c15IsPlayerInRangeERK7Vector3i	function	_ZN5Actor15IsPlayerInRangeERK7Vector3i	function	class-rename	_ZN8dActor_c15IsPlayerInRangeERK7Vector3i	
0x02010498	DIVERGED	arm9	_ZN8dActor_c15IsPlayerInRangeE5Fix12IiES1_S1_i	function	_ZN5Actor15IsPlayerInRangeE5Fix12IiES1_S1_i	function	class-rename	_ZN8dActor_c15IsPlayerInRangeE5Fix12IiES1_S1_i	
0x020104dc	DIVERGED	arm9	_ZN8dActor_c15IsPlayerInRangeEi	function	_ZN5Actor15IsPlayerInRangeEi	function	class-rename	_ZN8dActor_c15IsPlayerInRangeEi	
0x02010518	DIVERGED	arm9	_ZN8dActor_c24BumpedUnderneathByPlayerER6Player	function	_ZN5Actor24BumpedUnderneathByPlayerER6Player	function	class-rename	_ZN8dActor_c24BumpedUnderneathByPlayerER6Player	
0x0201054c	DIVERGED	arm9	_ZN8dActor_c16JumpedOnByPlayerER5dCc_cR6Player	function	_ZN5Actor16JumpedOnByPlayerER12CylinderClsnR6Player	function	class-rename+arg-rename	_ZN8dActor_c16JumpedOnByPlayerER5dCc_cR6Player	
0x0201061c	DIVERGED	arm9	_ZN8dActor_c15GivePlayerCoinsER6Playerhj	function	_ZN5Actor15GivePlayerCoinsER6Playerhj	function	class-rename	_ZN8dActor_c15GivePlayerCoinsER6Playerhj	
0x02010714	DIVERGED	arm9	_ZN8dActor_c10SpawnCoinsERK7Vector3j5Fix12IiEs	function	_ZN5Actor10SpawnCoinsERK7Vector3j5Fix12IiEs	function	class-rename	_ZN8dActor_c10SpawnCoinsERK7Vector3j5Fix12IiEs	
0x020108c4	DIVERGED	arm9	_ZN8dActor_c18ClosestWithActorIDEj	function	_ZN5Actor18ClosestWithActorIDEj	function	class-rename	_ZN8dActor_c18ClosestWithActorIDEj	
0x0201092c	DIVERGED	arm9	_ZN8dActor_c18HorzAngleToFPlayerEv	function	_ZN5Actor18HorzAngleToFPlayerEv	function	class-rename	_ZN8dActor_c18HorzAngleToFPlayerEv	
0x02010958	DIVERGED	arm9	_ZN8dActor_c14FarthestPlayerEv	function	_ZN5Actor14FarthestPlayerEv	function	class-rename	_ZN8dActor_c14FarthestPlayerEv	
0x0201097c	DIVERGED	arm9	_ZN8dActor_c23HorzAngleToCPlayerOrAngEv	function	_ZN5Actor23HorzAngleToCPlayerOrAngEv	function	class-rename	_ZN8dActor_c23HorzAngleToCPlayerOrAngEv	
0x020109b8	DIVERGED	arm9	_ZN8dActor_c18HorzAngleToCPlayerEv	function	_ZN5Actor18HorzAngleToCPlayerEv	function	class-rename	_ZN8dActor_c18HorzAngleToCPlayerEv	
